,股票名称,股票代码,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手
548,维力医疗,603309.SH,True,2021-09-29,11.3,2021-10-27,11.33,2021-10-13,12.09,14.71,12.09,,True,,,,
549,富信科技,688662.SH,True,2021-10-08,32.21,2021-10-28,32.8,2021-10-26,34.5,41.19,34.5,,True,,,,
550,神剑股份,002361.SZ,True,2021-09-29,4.9,2021-11-05,4.92,2021-10-11,5.67,,,,False,,,,
551,红豆股份,600400.SH,True,2021-10-22,2.87,2021-10-27,2.89,2021-10-25,2.89,3.96,2.89,,True,,,,
552,国创高新,002377.SZ,True,2021-10-14,3.03,2021-11-04,3.06,2021-10-18,3.22,3.5,3.22,,True,,,,
553,建设银行,601939.SH,True,2021-11-05,5.8,2021-11-29,5.76,2021-11-11,5.87,,,,False,,,,
554,上海建工,600170.SH,True,2021-10-15,3.15,2021-11-17,3.09,2021-11-01,3.37,,,,False,,,,
555,国联水产,300094.SZ,True,2021-09-29,3.87,2021-10-28,3.88,2021-10-19,4.29,,,,False,,,,
556,苏农银行,603323.SH,True,2021-11-05,4.82,2021-11-26,4.77,2021-11-11,5.03,,,,False,,,,
557,芯瑞达,002983.SZ,True,2021-09-29,19.3,2021-10-28,19.6,2021-10-22,20.72,22.48,20.72,,True,,,,
558,中环环保,300692.SZ,True,2021-10-22,7.02,2021-11-05,7.11,2021-10-27,7.58,8.34,7.58,,True,,,,
559,白云机场,600004.SH,True,2021-09-30,10.74,2021-11-30,10.7,2021-11-12,12.73,,,,False,,,,
560,先锋电子,002767.SZ,True,2021-10-25,12.5,2021-10-28,12.55,2021-10-27,12.57,,,,False,,,,
561,秦港股份,601326.SH,True,2021-11-02,2.59,2021-11-10,2.58,2021-11-03,2.64,,,,False,,,,
562,东威科技,688700.SH,True,2021-10-22,49.94,2021-10-28,49.98,2021-10-26,53.02,83.33,53.02,,True,,,,
563,德力股份,002571.SZ,True,2021-09-29,6.66,2021-10-27,6.76,2021-10-25,7.59,,,,False,,,,
564,深高速,600548.SH,True,2021-10-15,9.41,2021-11-30,9.55,2021-11-05,10.87,,,,False,,,,
565,许继电气,000400.SZ,True,2021-10-12,17.35,2021-11-11,17.3,2021-10-25,20.4,26.99,20.4,,True,,,,
566,博迈科,603727.SH,True,2021-11-05,19.06,2021-11-11,18.88,2021-11-08,19.26,19.92,19.26,,True,,,,
567,渤海租赁,000415.SZ,True,2021-10-13,2.62,2021-10-28,2.63,2021-10-18,2.75,3.08,2.75,,True,,,,
568,粤高速A,000429.SZ,True,2021-11-05,7.0,2021-11-29,6.9,2021-11-15,7.14,,,,False,,,,
569,智飞生物,300122.SZ,True,2021-11-08,127.85,2021-11-12,127.84,2021-11-10,129.04,,,,False,,,,
570,南京聚隆,300644.SZ,True,2021-10-25,17.65,2021-10-28,17.76,2021-10-27,18.4,20.45,18.4,,True,,,,
571,航民股份,600987.SH,True,2021-10-21,5.33,2021-11-08,5.33,2021-10-25,5.53,,,,False,,,,
572,*ST索菱,002766.SZ,True,2021-09-29,4.38,2021-10-27,4.38,2021-10-14,4.78,5.88,4.78,,True,,,,
573,中油资本,000617.SZ,True,2021-10-28,4.92,2021-11-29,4.91,2021-11-01,5.08,,,,False,,,,
574,锦泓集团,603518.SH,True,2021-11-05,11.89,2021-11-12,11.8,2021-11-08,12.1,13.31,12.1,,True,,,,
575,新潮能源,600777.SH,True,2021-11-05,1.99,2021-11-11,1.96,2021-11-08,2.02,,,,False,,,,
576,湘佳股份,002982.SZ,True,2021-10-15,38.7,2021-11-30,38.13,2021-11-03,44.55,,,,False,,,,
577,ST星源,000005.SZ,True,2021-09-29,2.07,2021-11-02,2.07,2021-10-21,2.29,,,,False,,,,
578,国新能源,600617.SH,True,2021-11-09,4.26,2021-11-12,4.2,2021-11-09,4.26,,,,False,,,,
579,上海贝岭,600171.SH,True,2021-11-08,27.08,2021-11-16,26.64,2021-11-11,28.08,,,,False,,,,
580,豪悦护理,605009.SH,True,2021-10-13,49.86,2021-10-27,50.37,2021-10-22,52.99,57.94,52.99,,True,,,,
581,广联达,002410.SZ,True,2021-11-09,64.15,2021-11-25,63.15,2021-11-15,65.99,,,,False,,,,
582,三元股份,600429.SH,True,2021-09-29,5.45,2021-11-12,5.39,2021-10-15,6.47,,,,False,,,,
583,温州宏丰,300283.SZ,True,2021-10-12,6.51,2021-10-28,6.61,2021-10-27,7.1,7.69,7.1,,True,,,,
