,DQCode,DQName,DateType,HYCode,HYName,HdDate,Hkcode,JG_SUM,LTSZ,LTZB,LTZB_One,Market,NewPrice,ORIGINALCODE,ORIGINALCODE_DQ,SCode,SName,ShareHold,ShareHold_Before_One,ShareHold_Chg_One,ShareSZ,ShareSZ_Before_One,ShareSZ_Chg_One,ShareSZ_Chg_Rate_One,SharesRate,ZSZ,ZZB,ZZB_One,Zdf
25,020005,广东板块,5,016029,银行,2021-07-26,1000002452,72.0,984000649263.3,0.0669031204553447,-4.19252122699149e-05,001,47.7,475,153,600036,招商银行,1380140754.0,0.0,-1449481.0,65832713965.8,0.0,-43961488.19,-0.000625998108686766,6.69,1202986635167.7,0.0547243934731018,-3.42933453191248e-05,-4.6953
26,020005,广东板块,3,016029,银行,2021-07-26,1000002452,72.0,984000649263.3,0.0669031204553447,-3.78897782906383e-05,001,47.7,475,153,600036,招商银行,1380140754.0,0.0,-1343878.0,65832713965.8,0.0,-38846818.7,-0.000565787061744678,6.69,1202986635167.7,0.0547243934731018,-3.09925026168168e-05,-4.6953
27,020005,广东板块,1,016029,银行,2021-07-26,1000002452,72.0,984000649263.3,0.0669031204553447,-0.000522969119250464,001,47.7,475,153,600036,招商银行,1380140754.0,0.0,-11319800.0,65832713965.8,0.0,-539954460.0,-0.00775322079241702,6.69,1202986635167.7,0.0547243934731018,-0.00042777029922313,-4.6953
28,020025,四川板块,y,016031,酿酒行业,2021-07-26,1000002190,94.0,968572835737.2,0.0597691927804873,-0.0128234737000991,003,249.54,477,169,000858,五粮液,231990128.0,0.0,-42785942.0,57890816541.12,0.0,-10416553653.64,-0.17714600970457,5.97,968616461567.7,0.0597665008164574,-0.012540030909897,-7.9901
29,020025,四川板块,jd,016031,酿酒行业,2021-07-26,1000002190,94.0,968572835737.2,0.0597691927804873,0.00525060684635315,003,249.54,477,169,000858,五粮液,231990128.0,0.0,18528944.0,57890816541.12,0.0,5398089625.84,0.093366770497044,5.97,968616461567.7,0.0597665008164574,0.00513451676492905,-7.9901
30,020025,四川板块,m,016031,酿酒行业,2021-07-26,1000002190,94.0,968572835737.2,0.0597691927804873,0.00279546447393898,003,249.54,477,169,000858,五粮液,231990128.0,0.0,11142578.0,57890816541.12,0.0,3175914586.29,0.0491307626580327,5.97,968616461567.7,0.0597665008164574,0.00279533856810923,-7.9901
31,020025,四川板块,10,016031,酿酒行业,2021-07-26,1000002190,94.0,968572835737.2,0.0597691927804873,0.00118775207856771,003,249.54,477,169,000858,五粮液,231990128.0,0.0,4198006.0,57890816541.12,0.0,1249128359.7,0.0202385415566157,5.97,968616461567.7,0.0597665008164574,0.00118769858301719,-7.9901
32,020025,四川板块,5,016031,酿酒行业,2021-07-26,1000002190,94.0,968572835737.2,0.0597691927804873,0.000120549319560686,003,249.54,477,169,000858,五粮液,231990128.0,0.0,201430.0,57890816541.12,0.0,131429590.73,0.0020186667115636,5.97,968616461567.7,0.0597665008164574,0.000120543890100842,-7.9901
33,020025,四川板块,3,016031,酿酒行业,2021-07-26,1000002190,94.0,968572835737.2,0.0597691927804873,-0.000465042801450104,003,249.54,477,169,000858,五粮液,231990128.0,0.0,-2067352.0,57890816541.12,0.0,-507611256.43,-0.00771191999362117,5.97,968616461567.7,0.0597665008164574,-0.000465021856236765,-7.9901
34,020025,四川板块,1,016031,酿酒行业,2021-07-26,1000002190,94.0,968572835737.2,0.0597691927804873,-0.000453432929259731,003,249.54,477,169,000858,五粮液,231990128.0,0.0,-1912805.0,57890816541.12,0.0,-477321359.7,-0.00752435890375652,5.97,968616461567.7,0.0597665008164574,-0.000453412506947186,-7.9901
