,数据日期,N日数据,股票代码,股票名称,所属行业板块,所属地区板块,当日收盘价(元),当日涨跌幅(%),当日持股数(股),当日持股市值(元),当日持股总占比,当日流通市值(元),当日总市值(元),当期增持股数(股),当期增持市值(元),当期市值增减幅,当期流通股占比变动,当期总占比变动
72,2022-01-07,m,'300760',迈瑞医疗,医疗器械,广东板块,327.99,-2.9615,108004063.0,35424252623.37,0.0888416870472112,398734578335.34,398734578335.34,-2278528.0,-792890063.56,-0.02059414306227,-0.00186821730142447,-0.00186821730142447
73,2022-01-07,10,'300760',迈瑞医疗,医疗器械,广东板块,327.99,-2.9615,108004063.0,35424252623.37,0.0888416870472112,398734578335.34,398734578335.34,-1333269.0,-442331316.97,-0.0108751755532766,-0.000978095930506489,-0.000978095930506489
74,2022-01-07,5,'300760',迈瑞医疗,医疗器械,广东板块,327.99,-2.9615,108004063.0,35424252623.37,0.0888416870472112,398734578335.34,398734578335.34,-1375388.0,-456589039.01,-0.0108991083074172,-0.000980626016157321,-0.000980626016157321
75,2022-01-07,3,'300760',迈瑞医疗,医疗器械,广东板块,327.99,-2.9615,108004063.0,35424252623.37,0.0888416870472112,398734578335.34,398734578335.34,-877182.0,-300540446.17,-0.00807376591008795,-0.000723112609849855,-0.000723112609849855
76,2022-01-07,1,'300760',迈瑞医疗,医疗器械,广东板块,327.99,-2.9615,108004063.0,35424252623.37,0.0888416870472112,398734578335.34,398734578335.34,110657.0,36294389.43,0.000995240157536739,8.83282239395601e-05,8.83282239395601e-05
77,2022-01-07,y,'600276',恒瑞医药,化学制药,江苏板块,50.88,1.5366,672371176.0,34210245434.88,0.105123502745245,324563635701.12,325429086184.32,-130107671.8,-7624492543.14,-0.101641397760515,-0.0129356809477281,-0.012848389290365
78,2022-01-07,jd,'600276',恒瑞医药,化学制药,江苏板块,50.88,1.5366,672371176.0,34210245434.88,0.105123502745245,324563635701.12,325429086184.32,-60235954.0,-2930016925.97,-0.0872097291551488,-0.0100338112683012,-0.00998682190686401
79,2022-01-07,m,'600276',恒瑞医药,化学制药,江苏板块,50.88,1.5366,672371176.0,34210245434.88,0.105123502745245,324563635701.12,325429086184.32,-393227.0,-9771233.15999999,-0.000289438111117017,-3.05257232506025e-05,-3.04375678023028e-05
80,2022-01-07,10,'600276',恒瑞医药,化学制药,江苏板块,50.88,1.5366,672371176.0,34210245434.88,0.105123502745245,324563635701.12,325429086184.32,6186579.0,315531487.1,0.0094652222554779,0.000988490833352065,0.000985862027551717
81,2022-01-07,5,'600276',恒瑞医药,化学制药,江苏板块,50.88,1.5366,672371176.0,34210245434.88,0.105123502745245,324563635701.12,325429086184.32,3862401.0,199246872.71,0.00595974320019178,0.000624571124909868,0.000622910132070587
82,2022-01-07,3,'600276',恒瑞医药,化学制药,江苏板块,50.88,1.5366,672371176.0,34210245434.88,0.105123502745245,324563635701.12,325429086184.32,2960095.0,152457485.21,0.00451971964144144,0.000474298374735811,0.000473037019266916
83,2022-01-07,1,'600276',恒瑞医药,化学制药,江苏板块,50.88,1.5366,672371176.0,34210245434.88,0.105123502745245,324563635701.12,325429086184.32,3773471.0,191994204.48,0.00573058336902987,0.000600635448032534,0.000599038110053862
84,2022-01-07,y,'603288',海天味业,食品饮料,广东板块,109.29,-0.2191,288345898.0,31513323192.42,0.0684488271223355,460392449619.3,460392449619.3,23395616.2,2577786366.73,0.0608285036820497,0.00384301573459658,0.00384301573459658
85,2022-01-07,jd,'603288',海天味业,食品饮料,广东板块,109.29,-0.2191,288345898.0,31513323192.42,0.0684488271223355,460392449619.3,460392449619.3,19643723.0,2226665289.35,0.0922799648927757,0.00588614336571449,0.00588614336571449
86,2022-01-07,m,'603288',海天味业,食品饮料,广东板块,109.29,-0.2191,288345898.0,31513323192.42,0.0684488271223355,460392449619.3,460392449619.3,317206.0,26208197.21,0.000807379056937268,5.52033540364055e-05,5.52033540364055e-05
87,2022-01-07,10,'603288',海天味业,食品饮料,广东板块,109.29,-0.2191,288345898.0,31513323192.42,0.0684488271223355,460392449619.3,460392449619.3,5476612.0,596485616.99,0.0196743516310094,0.00132110840820157,0.00132110840820157
